Load (MW),Solar Generation (MW),Price ($/MWh),s1_Gen,s2_Line,s3_XFMR
1901.873802246921,0.0,24.71,1,1,1
3402.24543757804,106.8563628,40.34,1,1,1
3058.478245976584,970.3659636,34.91,1,1,1
2764.924337360469,1048.07142,42.24,1,1,1
2839.588578418285,0.0,51.93,1,1,1
3146.850266862446,0.0,48.9,1,1,1
3278.78987417605,749.5529975999999,51.93,1,1,1
2005.741713688328,0.0,36.04,1,1,1
3363.6531896486376,838.8435528,24.9,1,1,1
1935.8309311187825,0.0,27.81,1,1,1
3107.8528578134187,465.7493808,44.98,1,1,1
3230.77227695704,292.8601764,27.28,1,1,1
2317.6186799368465,1411.8256152,51.43,1,1,1
2253.4341555876817,0.0,37.08,1,1,1
3000.2768041266813,21.6420336,38.94,1,1,1
2815.003963774152,1502.4356424,44.9,1,1,1
1891.264693570067,3.6608616,36.3,1,1,1
2513.517485963219,1403.9269596,30.0,1,1,1
1977.1285590736677,0.0767448,32.64,1,1,1
3010.329977985288,0.0,33.06,1,1,1
2865.3138850729465,1286.2630439999998,30.0,1,1,1
2010.720968763628,0.0,34.8,1,1,1
2961.295928916298,1258.1899308000002,30.94,1,1,1
2465.584603634189,0.309672,41.4,1,1,1
3251.015594499785,67.8302856,48.77,1,1,1
1881.259779757054,0.0,36.52,1,1,1
2244.0131661748046,0.0,40.02,1,1,1
3316.232206595589,1016.2250208,38.0,1,1,1
2722.3265953376776,0.0,35.87,1,1,1
2045.4032461358795,0.0767448,25.72,1,1,1
3030.062081039488,169.7770008,50.41,1,1,1
2723.831383678485,1623.155886,25.0,1,1,1
2793.799017833798,1565.1617256000002,37.56,1,1,1
1837.564728190088,2.362932,30.19,1,1,1
2693.8142238099654,0.0,43.49,1,1,1
1988.622661848855,0.0,38.38,1,1,1
1869.9656199647595,0.10098,26.7,1,1,1
2884.922125967801,794.7502992,27.45,1,1,1
2733.51027809208,1438.6014719999998,44.9,1,1,1
3148.838361227815,418.2416568,44.97,1,1,1
2238.547380952833,91.1391624,28.8,1,1,1
2980.5693113207303,58.002912,49.26,1,1,1
2730.68837909003,962.0681004,35.99,1,1,1
2662.546238289622,1287.491634,44.01,1,1,1
2043.3277890230136,0.0,33.14,1,1,1
2247.111046750271,199.00061280000003,38.3,1,1,1
2885.5682236680477,1040.5558152,39.21,1,1,1
1862.1465050887032,0.0,26.71,1,1,1
2957.86484826026,1193.1514056,34.04,1,1,1
3000.795966812748,980.0034948,32.96,1,1,1
2603.951159927911,0.0,30.56,1,1,1
2309.889435317409,0.0,27.6,1,1,1
2213.2136064815904,0.0,31.56,1,1,1
3227.3942922971305,100.8635364,51.23,1,1,1
3126.134297273393,1124.0225172,29.34,1,1,1
3062.993962849509,1311.6177755999995,33.06,1,1,1
2923.425514835616,974.8555344,38.99,1,1,1
2959.7337524511063,0.0,27.8,1,1,1
2301.5172365740336,0.0,30.45,1,1,1
2614.1172001608206,759.2080319999999,28.3,1,1,1
2296.6186452965094,1029.225186,41.49,1,1,1
3173.875813566135,1876.928724,33.7,1,1,1
2312.362671570463,0.0,27.01,1,1,1
2783.8437750982694,0.0,38.9,1,1,1
2680.073383266855,725.9532984,42.87,1,1,1
3226.332435906135,817.61823,56.7,1,1,1
2023.2622937468795,0.0,36.67,1,1,1
2039.3735801731616,0.0,32.07,1,1,1
2991.9196391149503,1334.4682032,32.9,1,1,1
1883.4076840473092,26.4116556,30.3,1,1,1
2213.726667801956,38.3710536,30.71,1,1,1
2466.0972717949744,0.0,30.1,1,1,1
1964.9802130884927,0.0,25.5,1,1,1
2817.310450923373,1321.2815616,38.7,1,1,1
2912.207429832754,0.0,47.73,1,1,1
2636.975255409752,2514.8745864,49.27,1,1,1
3000.762146704568,0.0,33.86,1,1,1
2841.506694674888,1265.8536396,36.7,1,1,1
2655.896496626093,2049.5802888,36.89,1,1,1
3213.147037013665,108.304416,29.94,1,1,1
2453.2828540939386,1558.2540204000002,34.9,1,1,1
2223.916504612768,0.10098,37.58,1,1,1
3169.8380053512437,3.1653864,42.0,1,1,1
1917.184460499272,0.0,23.4,1,1,1
2051.9988863404456,0.0,26.71,1,1,1
3119.6493539726685,55.3181904,54.38,1,1,1
3330.1058373781484,189.8800992,39.5,1,1,1
1927.757737400844,0.0,31.47,1,1,1
1855.2857078033849,1237.4533511999998,38.87,1,1,1
3266.9046704611937,3.6999072,48.91,1,1,1
1943.6611300006596,12.2946516,10.16,1,1,1
2379.745308167397,1446.8508648,34.9,1,1,1
2641.9678046039244,1427.6592792,29.53,1,1,1
3048.046175521781,0.619344,47.45,1,1,1
2572.0507723611718,705.8360628,59.44,1,1,1
1952.237221436038,0.309672,33.07,1,1,1
2323.5039022612164,0.0,39.87,1,1,1
2733.290200317673,2218.1495688,34.28,1,1,1
2698.65272792217,1407.048588,36.19,1,1,1
1935.536925604948,4.954752,25.09,1,1,1
2479.5207073269557,0.0,51.87,1,1,1
1852.488056798871,0.0,28.4,1,1,1
2369.587226102594,451.2924108,39.06,1,1,1
3072.950155018382,0.0,43.49,1,1,1
2001.9113996736305,0.0,26.1,1,1,1
2263.1812791309776,0.0,30.82,1,1,1
2119.035519907673,162.961524,34.91,1,1,1
3460.292447254065,1078.0611336,29.23,1,1,1
1858.5737581625208,0.309672,33.57,1,1,1
2592.153257855233,1131.3893448,42.0,1,1,1
3668.843873998273,1311.5255472,43.33,1,1,1
1951.663996127659,1.238688,33.16,1,1,1
3335.9165574069475,157.4183952,39.76,1,1,1
1880.6200869746224,0.0969408,29.48,1,1,1
3078.004400886012,435.4769232,46.24,1,1,1
2818.5403793682326,1444.4610048000002,45.0,1,1,1
2765.0365558332974,1311.5100636,32.74,1,1,1
2324.488632478385,0.0,35.58,1,1,1
1880.03433143902,24.396768,24.5,1,1,1
2605.26651852936,0.0,40.97,1,1,1
2388.156038697957,0.0,23.0,1,1,1
2741.110447813117,34.0316064,43.15,1,1,1
3205.407430200927,414.1654308,54.11,1,1,1
1983.813839343888,0.0,35.0,1,1,1
2225.555699908393,0.0,27.74,1,1,1
1834.481372471432,5.5579392,29.55,1,1,1
3187.4813074284634,422.2525824,50.1,1,1,1
2953.821672972472,0.0,43.66,1,1,1
2042.67581680538,0.0,32.57,1,1,1
2552.706903999552,0.0,38.17,1,1,1
2709.8944950358527,865.7365463999998,44.02,1,1,1
2705.577062707927,1262.408202,37.57,1,1,1
1886.3773028284725,0.0,29.25,1,1,1
2133.8232006122403,0.309672,37.05,1,1,1
1890.6619720389892,20.9930688,32.87,1,1,1
3063.2246322052606,0.0,41.32,1,1,1
2958.471152301774,1203.8081616,24.8,1,1,1
2837.7307233357183,0.20196,48.45,1,1,1
3076.613136318263,0.0,44.42,1,1,1
1861.457177175285,0.0,25.48,1,1,1
2410.9923580053837,381.1106376,39.27,1,1,1
1735.3805484159582,48.2442048,30.1,1,1,1
2493.341783419842,215.3210004,58.94,1,1,1
3104.280492670692,9.579636,47.45,1,1,1
1886.194137218311,0.0,28.43,1,1,1
2657.3722536457685,471.0488112,48.37,1,1,1
2228.861267858263,491.2919352,53.27,1,1,1
3016.418902126849,0.0,68.16,1,1,1
2649.3494863738847,0.0,42.79,1,1,1
3061.475659902321,0.0,39.67,1,1,1
3073.0988102837664,233.627328,40.85,1,1,1
1863.771250375377,65.45119679999999,42.97,1,1,1
3013.304542712664,577.9960560000001,33.87,1,1,1
2855.4523122033884,1199.564982,36.07,1,1,1
2685.2916957507323,1483.4238012,36.7,1,1,1
1964.3009829636176,0.1844567999999999,35.64,1,1,1
2577.5104945165253,0.0,36.0,1,1,1
2684.689825454455,1046.3904396000005,57.75,1,1,1
2158.756060319847,638.7207156,43.26,1,1,1
2792.014316036459,710.071164,42.57,1,1,1
1983.3513415342236,0.0,31.36,1,1,1
3033.470856053749,1643.8036032,50.79,1,1,1
2726.242239425885,0.0,41.17,1,1,1
3254.478333987396,373.6488888,42.79,1,1,1
3050.921889192819,1252.0106279999998,31.01,1,1,1
2756.3327181494624,1096.1318412,33.76,1,1,1
1976.922748086676,0.0,33.38,1,1,1
1995.3371414712933,0.0,34.95,1,1,1
2399.3463169078245,408.1450032,42.89,1,1,1
2501.5483011690194,0.0,45.9,1,1,1
2859.8631901544863,269.401176,51.83,1,1,1
3103.5863771564245,0.0,30.12,1,1,1
2252.1994213955218,142.200036,36.56,1,1,1
2920.10761203755,0.0,38.17,1,1,1
3120.21392073993,210.6362016,33.68,1,1,1
2883.165753289522,0.0,45.99,1,1,1
3091.645515615952,0.0,47.6,1,1,1
3231.988057193921,590.6602944,39.67,1,1,1
2335.857062946039,111.87708840000002,36.56,1,1,1
3214.6509770596845,1470.477492,54.8,1,1,1
2985.0762831695074,1076.5558583999998,36.29,1,1,1
2840.321769718296,395.7157116,26.84,1,1,1
2202.7451575634336,0.0,35.11,1,1,1
2149.998304244783,76.0190904,43.75,1,1,1
3136.7892342490254,13.3912944,47.0,1,1,1
2625.0331424126493,466.8520824,53.73,1,1,1
3578.9681635009165,672.5241071999999,49.12,1,1,1
2375.0878130328583,0.0,36.69,1,1,1
3035.907814315825,0.0,45.94,1,1,1
2552.743246009417,0.0,39.01,1,1,1
2968.2008966449785,835.5940163999999,5.0,1,1,1
3158.3694568243136,27.7870032,54.38,1,1,1
2845.7996280009284,579.7342583999999,32.97,1,1,1
2063.6296584673782,0.0,25.6,1,1,1
2851.5287430185926,0.0,37.57,1,1,1
2989.189992063498,0.0,39.9,1,1,1
2852.7900910119133,0.0,37.49,1,1,1
2567.846851982248,935.4470796,29.23,1,1,1
2753.4345467483918,625.8901968000001,20.67,1,1,1
3033.046423438016,509.8857192,34.74,1,1,1
2164.5429232178494,63.974196000000006,41.8,1,1,1
2922.6892528142503,0.0,44.64,1,1,1
3215.377210507764,57.48185519999999,32.92,1,1,1
2606.770859326423,1436.5872576,46.65,1,1,1
2677.659794916212,945.1014408,50.07,1,1,1
1944.2814746068611,0.309672,27.19,1,1,1
3000.201557400618,51.23051999999999,50.83,1,1,1
3478.374864449206,221.805936,34.71,1,1,1
3237.573642261562,360.2252808,41.89,1,1,1
3075.4930209894383,0.0,46.12,1,1,1
3027.327506704776,867.0533256,39.96,1,1,1
1962.5019970049143,0.0,33.92,1,1,1
2222.754940341317,0.0,29.4,1,1,1
2252.302864032372,0.0,25.96,1,1,1
1839.436370470698,1.0825056,30.19,1,1,1
2472.989186286142,0.0,37.08,1,1,1
2360.6186944785704,886.0241016000001,37.71,1,1,1
2240.772698779383,679.4856684,29.51,1,1,1
2868.180024747768,0.0,51.09,1,1,1
2488.758492898821,418.6300932,46.09,1,1,1
2063.1543387358006,0.0,36.67,1,1,1
1985.2460707720963,0.0,25.96,1,1,1
2496.500244494553,136.7390376,55.72,1,1,1
3484.9507594806773,334.4787468,39.94,1,1,1
2988.015920180967,31.2108984,42.39,1,1,1
2406.6893724615657,176.0996952,43.26,1,1,1
3444.72740417102,461.3533848,41.86,1,1,1
2103.0536820719253,324.9092088,43.88,1,1,1
2916.483433893349,1081.1652588,33.83,1,1,1
2566.4468650527024,1226.583864,42.59,1,1,1
2136.5814246961445,0.0,30.28,1,1,1
2969.6500323515024,1583.740026,50.0,1,1,1
3143.005668867916,1539.0509904,41.37,1,1,1
3011.750265422603,581.6892312,32.01,1,1,1
2502.268415444921,1182.4549308,47.96,1,1,1
2331.766834084439,0.0,38.94,1,1,1
2012.4735445291583,0.0,25.4,1,1,1
2833.997274518525,1430.5540391999998,34.9,1,1,1
3174.1191216788984,1403.7929928,31.0,1,1,1
3024.379242229706,697.5375263999999,30.46,1,1,1
3167.459217843372,0.4604688,40.92,1,1,1
2616.966056478215,482.98330080000005,54.68,1,1,1
1948.8233639730645,0.1938816,17.0,1,1,1
2001.498748400516,0.0,31.34,1,1,1
2014.4464573825,0.0,28.1,1,1,1
3187.4200272612334,1451.977956,36.5,1,1,1
2544.5795322691883,0.309672,25.18,1,1,1
3128.320058626753,1184.9585616,49.39,1,1,1
1987.688526707072,0.0,27.8,1,1,1
2704.3858802700397,2006.8179516,41.16,1,1,1
3269.9645521624893,1569.7266948,36.04,1,1,1
2542.2345680573653,0.0,40.97,1,1,1
2073.03167037774,78.2352648,19.35,1,1,1
1869.2752132710525,0.0,25.65,1,1,1
1976.182399615228,0.0,30.5,1,1,1
2878.244650910789,1745.1821376,33.8,1,1,1
2719.0527109897203,1046.9040912,50.97,1,1,1
2626.944074362911,0.0,38.48,1,1,1
3119.779466877293,1850.3130888000003,40.46,1,1,1
1904.9938579653092,1216.6454124000002,33.02,1,1,1
2398.0149210265827,1562.5975068,38.04,1,1,1
2973.2443197643497,0.0,36.19,1,1,1
1915.306073467268,0.0,31.02,1,1,1
3133.605841220854,1.7853263999999998,53.1,1,1,1
2878.770231422126,1608.2532576,39.25,1,1,1
2185.068332153556,0.309672,35.1,1,1,1
2539.8891566211896,386.840916,51.79,1,1,1
3157.1873725648884,1101.1222728,29.5,1,1,1
2408.642002730628,1615.6046015999998,44.58,1,1,1
3124.309510023861,99.8705664,48.01,1,1,1
2545.070603034126,1708.21134,43.06,1,1,1
1776.2637778082424,2.167704,27.9,1,1,1
2983.587936081601,899.741898,35.68,1,1,1
2004.151172220101,131.9014224,47.88,1,1,1
2877.971766102001,818.4038544000001,57.75,1,1,1
2232.293217614157,237.8455992,41.12,1,1,1
2244.6381139424034,0.309672,37.37,1,1,1
2889.318951787207,0.0,43.88,1,1,1
3035.149569461664,848.9482848,31.31,1,1,1
2570.50594435032,306.5490252,14.55,1,1,1
1899.3331441964924,0.0,17.65,1,1,1
2712.802621816353,425.3156424,40.64,1,1,1
3177.90435904592,1058.007852,27.94,1,1,1
2776.451302011951,1450.4309424,27.26,1,1,1
2801.408502858212,1105.1951328,38.09,1,1,1
3414.254479123304,461.0329416,31.59,1,1,1
2660.407447212769,1063.3921056,38.19,1,1,1
2754.928582497,1495.7669232,39.92,1,1,1
2261.0987493380853,0.0,35.93,1,1,1
1948.2831866900003,0.10098,29.21,1,1,1
2467.891156593628,0.0,35.95,1,1,1
3779.6163282264265,724.3039584,31.52,1,1,1
3205.44126381756,836.5910256,42.71,1,1,1
2327.439629957071,255.0323952,51.55,1,1,1
3592.6476928019983,618.1241616,31.11,1,1,1
2849.9606561853634,1315.1540952,39.76,1,1,1
2090.696317789272,172.38968999999997,25.94,1,1,1
2971.7516707688264,867.2222988,30.53,1,1,1
2089.2511354974304,0.309672,36.04,1,1,1
3589.77775827719,278.4476376,30.0,1,1,1
2463.8422153964007,0.0,44.6,1,1,1
3637.258368620296,1104.65388,25.39,1,1,1
2617.778142070292,1196.2757268,36.99,1,1,1
3165.1550478325976,0.0767448,72.87,1,1,1
3098.181953289489,938.9982096,38.51,1,1,1
2439.370166102726,1126.4709456,49.39,1,1,1
2793.453346980624,1566.415224,33.17,1,1,1
2352.4285081100093,480.7146168,40.74,1,1,1
3360.718879476205,790.2822708,34.47,1,1,1
1728.5739213477932,1.2885048,28.75,1,1,1
2471.458666566853,0.0,33.18,1,1,1
2783.7465476798448,0.0,43.44,1,1,1
3099.045372921208,0.929016,48.98,1,1,1
3387.8617959502044,106.21749599999998,45.13,1,1,1
2781.438976789798,710.4535416,31.74,1,1,1
3345.059863134447,822.4767144,39.21,1,1,1
2293.752061974194,166.54092839999998,36.7,1,1,1
2587.507148011923,405.2771712,31.64,1,1,1
3174.817543863839,853.8444684000001,31.1,1,1,1
2001.0181669141036,39.3330564,29.1,1,1,1
2411.482652797873,143.815716,40.52,1,1,1
2629.5784066805822,527.2226388,37.52,1,1,1
3228.351542551768,307.88936640000003,46.13,1,1,1
2808.2014161437683,0.309672,68.16,1,1,1
2233.22184392768,2829.3680448,45.48,1,1,1
3281.3673645012123,0.309672,51.71,1,1,1
3133.9336157466387,758.0952324,39.17,1,1,1
2356.7529792409205,0.0969408,28.9,1,1,1
1923.8709548120703,60.641856,42.16,1,1,1
2636.4801119211406,0.0,30.56,1,1,1
2876.641244532651,0.0,21.6,1,1,1
3024.0704243500445,1193.7727692,26.84,1,1,1
2258.771268692821,150.48308880000002,26.89,1,1,1
2046.2573888204324,0.2612015999999999,34.73,1,1,1
3186.857897648363,414.314208,32.02,1,1,1
2393.6637420309853,0.0,27.65,1,1,1
2488.27517938766,167.4914868,43.26,1,1,1
1936.9024994025017,0.0,30.07,1,1,1
3092.4916475782093,7.813159199999999,51.02,1,1,1
3251.501155939718,0.0,45.99,1,1,1
2927.9949354152204,1220.8764744,35.67,1,1,1
2467.299582146772,0.0767448,27.9,1,1,1
2118.683038862252,0.0,31.53,1,1,1
2950.5354238385903,1282.5739079999998,41.22,1,1,1
1932.7926710220863,0.0,26.71,1,1,1
3149.6213481246064,245.290518,46.99,1,1,1
3651.524860962156,577.8896904,29.9,1,1,1
2922.067234714212,0.0,35.77,1,1,1
2796.621459962336,2000.7409752,25.88,1,1,1
3063.342004864073,601.5378599999999,28.44,1,1,1
1870.989062214118,0.0,24.54,1,1,1
3115.363081086642,71.6984928,46.31,1,1,1
2216.323970626373,890.3090195999999,49.04,1,1,1
2138.4615015283075,1032.6995712,34.78,1,1,1
3176.272718732293,829.9458684,34.74,1,1,1
1937.5129971878928,95.331852,23.87,1,1,1
2995.260437367681,1399.16205,36.7,1,1,1
2546.597284774652,1208.6740512,39.19,1,1,1
3013.243194409935,905.0487336,41.6,1,1,1
2753.713237356938,665.2387368,35.23,1,1,1
2691.093797386118,255.4820928,47.9,1,1,1
1961.5775262782176,0.0,32.95,1,1,1
3098.4505643181496,0.0,55.1,1,1,1
3197.41952616206,20.4942276,41.08,1,1,1
3548.211433510177,929.0940912,34.24,1,1,1
1923.7502205876692,0.0,16.79,1,1,1
2440.353925548108,0.0767448,42.25,1,1,1
2762.266683721577,739.9693224,26.12,1,1,1
2804.912085022862,808.3906776,45.0,1,1,1
2110.932422428436,85.98110399999999,25.94,1,1,1
3892.904407112297,916.0986384,31.52,1,1,1
2483.409773932706,1117.6708752000002,27.28,1,1,1
3222.8938942957748,736.1172720000001,32.37,1,1,1
2710.402148557736,1666.8916704,40.0,1,1,1
2030.4796005981937,3.8991744,31.0,1,1,1
1903.6936910194408,0.0,31.86,1,1,1
1950.7103971714505,0.0,16.0,1,1,1
3099.1384866619146,0.0,37.01,1,1,1
2286.053788080868,1514.7457776,34.9,1,1,1
2016.6292174953696,0.309672,41.21,1,1,1
2317.4881885057844,0.0,43.92,1,1,1
2917.708315984722,0.0,54.6,1,1,1
1940.396349812277,0.0,31.83,1,1,1
2514.7413687056437,1392.3977364000002,36.99,1,1,1
3173.5617683284945,1085.252256,31.89,1,1,1
2098.316427941802,8.3833596,32.87,1,1,1
2662.949437807655,370.0088964,39.98,1,1,1
3322.0069575912835,80.2939104,43.69,1,1,1
2817.200674514512,0.1777248,51.74,1,1,1
3152.92021906813,111.4738416,50.81,1,1,1
3137.7788158188605,76.4337816,55.94,1,1,1
2482.3544974041897,217.99023840000004,28.28,1,1,1
2653.061843340848,344.405754,33.96,1,1,1
2916.3454994266363,1452.8591748,51.75,1,1,1
2655.170659744306,465.558192,28.47,1,1,1
1875.9818983239104,0.0,35.83,1,1,1
2920.5187151777923,1259.200404,34.7,1,1,1
3057.428245071085,690.2898552,29.65,1,1,1
1978.0646877873703,0.0,37.01,1,1,1
2562.048404623381,1330.7016491999998,35.46,1,1,1
3012.323643193669,1087.3297512,32.85,1,1,1
2299.3024659285857,400.3264584,32.44,1,1,1
2017.1893420778365,0.309672,19.6,1,1,1
2662.436198852308,1736.0003628,30.71,1,1,1
2390.202924018088,0.10098,32.45,1,1,1
1908.0485381888104,13.315896,33.86,1,1,1
2161.498523747062,1445.5650528,46.99,1,1,1
1982.4140694447103,0.0,38.12,1,1,1
1934.9834715356385,0.0,29.48,1,1,1
2399.382429442413,0.0,26.28,1,1,1
1862.3571126546924,1.400256,33.85,1,1,1
2014.1159468040448,0.0,35.65,1,1,1
2969.1868748108022,29.4215328,66.16,1,1,1
2815.621884207412,923.2830288,47.57,1,1,1
2589.56519896431,0.0,34.35,1,1,1
1757.8037382988402,72.77292,32.8,1,1,1
1976.515799607417,0.0,24.0,1,1,1
2730.5782267948166,1257.57126,38.97,1,1,1
2206.1200852496545,0.0,38.17,1,1,1
2439.439122555696,477.8461116,55.3,1,1,1
3206.776897071001,550.9549584,45.02,1,1,1
3297.5382311092203,1402.0022807999997,33.06,1,1,1
3067.9348545434264,210.7883448,61.23,1,1,1
2442.192045211857,0.0,35.58,1,1,1
3195.5671633196835,0.0,47.9,1,1,1
3128.8812671853425,265.153284,31.19,1,1,1
2085.815612696705,0.0,42.25,1,1,1
2164.503961497828,56.09910240000001,41.7,1,1,1
3155.439477145037,4.025736,55.1,1,1,1
1979.433331330076,0.0,37.12,1,1,1
2938.7474774702896,1139.2267392,30.91,1,1,1
3020.8922975622395,0.0,34.19,1,1,1
2402.950614123095,0.0,33.23,1,1,1
2722.1960360817952,1291.0804632000002,47.8,1,1,1
2248.933851967849,0.0,30.56,1,1,1
1957.74808818552,15.0837192,13.08,1,1,1
1938.742576703188,0.0,37.01,1,1,1
1891.815083313979,0.309672,38.9,1,1,1
2798.273857202096,1991.5235208,45.72,1,1,1
2557.489491402041,966.7946376,56.7,1,1,1
2444.719745221658,871.598772,34.11,1,1,1
2734.0177279587983,76.515912,44.0,1,1,1
1992.3211253642144,3.541032,35.17,1,1,1
2908.460625429207,0.0,51.25,1,1,1
3237.608522871052,18.58032,47.9,1,1,1
2364.1273737579486,0.0,41.12,1,1,1
1918.9912782721613,2.160972,27.9,1,1,1
3348.0448545169074,992.976732,46.19,1,1,1
2206.302654725592,0.0,25.8,1,1,1
3387.682061479892,826.5401496,46.26,1,1,1
2403.097270181396,0.0,31.01,1,1,1
2678.3734669578075,0.0,38.86,1,1,1
3303.6496886054365,168.818364,34.26,1,1,1
2888.8811933531865,0.0,31.98,1,1,1
2874.0450529644854,0.0,40.9,1,1,1
3122.073754366631,514.05552,46.99,1,1,1
2751.3393484238068,0.0,45.59,1,1,1
1859.6201647376013,0.0,36.6,1,1,1
2651.4390774130475,843.8615856,47.9,1,1,1
1810.3155785858437,0.0,25.35,1,1,1
2926.0382236518803,0.0,47.7,1,1,1
1978.144934352436,53.6163408,30.98,1,1,1
1874.577184108627,0.0,29.44,1,1,1
1881.1582130602717,0.0,24.48,1,1,1
1948.1150528672704,0.0,36.81,1,1,1
2927.342732092302,952.8782472,40.84,1,1,1
2821.08827582668,1839.8259792,29.29,1,1,1
2530.7795182407394,307.2444408,49.0,1,1,1
2542.772088934541,1046.1521268,41.0,1,1,1
2174.4356056572788,0.0,32.96,1,1,1
3009.037488525752,112.3362108,42.47,1,1,1
1998.8711878247395,0.0,33.29,1,1,1
2678.501708018201,0.0,34.35,1,1,1
3009.318124982095,1057.8893688,42.59,1,1,1
3284.665258977987,554.9308776,46.0,1,1,1
1831.9021725053317,3.7376064,25.9,1,1,1
2985.602302337158,0.0,47.9,1,1,1
2951.87211901147,0.0,44.63,1,1,1
2941.9585380993826,133.778304,47.5,1,1,1
2043.197879197236,0.0,29.58,1,1,1
2587.1893144604014,1034.5757796,38.26,1,1,1
1842.4585210834557,0.0,27.14,1,1,1
3098.286267528332,22.303116,67.86,1,1,1
2383.1798159050727,1087.544502,36.09,1,1,1
2081.578902578003,26.3477016,28.91,1,1,1
2436.932808909308,744.6803759999999,32.16,1,1,1
2945.709192311903,1086.349572,30.94,1,1,1
2817.4010248614504,0.0,39.06,1,1,1
2651.2695289024737,3.406392,52.42,1,1,1
3239.9095571184225,471.3396336,35.04,1,1,1
2400.2370107298284,196.76760840000003,40.96,1,1,1
1813.2227357219135,0.0,35.39,1,1,1
3298.017912155614,255.8510064,41.1,1,1,1
3653.616616355933,532.4985072,36.65,1,1,1
1936.9483581755544,0.0,36.57,1,1,1
3000.4411941744715,1046.213388,33.94,1,1,1
3125.027948514325,1435.9847436,40.52,1,1,1
2945.970146615177,1855.7350416,39.29,1,1,1
2586.2337672531403,1569.7468907999998,29.68,1,1,1
2481.2437259406543,825.4731276,47.7,1,1,1
2888.74612541361,1078.890516,17.4,1,1,1
1928.479368534426,0.0,31.84,1,1,1
3019.9581388313604,42.9797808,48.71,1,1,1
1990.1118683940783,20.5204824,29.78,1,1,1
2971.0546563168546,0.309672,46.44,1,1,1
3111.6775815281235,102.5243208,56.62,1,1,1
3035.493448022165,1207.5444216,36.07,1,1,1
3053.319899377605,1512.6144264,53.37,1,1,1
3025.416655019934,1261.3876308,32.02,1,1,1
2586.944853494585,1155.6299303999997,44.9,1,1,1
1892.0580060912364,0.0,30.99,1,1,1
2050.880168319072,97.8401952,38.68,1,1,1
1972.3932370405848,0.0,29.41,1,1,1
2699.7587669880336,1935.3544056,31.03,1,1,1
2928.738487606964,0.0,49.26,1,1,1
2768.121035441888,1030.4140572,33.0,1,1,1
2882.3409984398595,1397.2669919999998,41.73,1,1,1
2712.330753177864,1128.4602516,38.59,1,1,1
2360.683682900719,636.8983632000001,45.29,1,1,1
2877.3270425842925,810.6782111999999,43.56,1,1,1
3236.946912591613,616.6767816,29.33,1,1,1
1838.2565497404323,0.0,35.83,1,1,1
1977.0965544445453,0.0,31.47,1,1,1
2716.216051679543,859.1842908,36.29,1,1,1
2634.2094220970225,1384.038612,36.6,1,1,1
3151.7277822204524,416.5276896,46.13,1,1,1
2478.6158071846985,0.0,35.68,1,1,1
1871.9945968358984,12.481127999999998,30.66,1,1,1
2869.0680601416707,878.8531752,59.69,1,1,1
1950.444516679424,0.0767448,35.85,1,1,1
2556.6541124883765,983.753892,27.94,1,1,1
2885.5796974610053,828.5920632,28.29,1,1,1
3399.0835369785736,1588.6732356,30.88,1,1,1
2134.28961044361,0.0,35.32,1,1,1
